episode 1 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.0
episode 2 of 500 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 0.1
episode 3 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 0.2
episode 4 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.3
episode 5 of 500 complete,  explore val = 0.01, episode reward = 359.0, ave reward = 0.4
episode 6 of 500 complete,  explore val = 0.01, episode reward = 84.0, ave reward = 4.0
episode 7 of 500 complete,  explore val = 0.01, episode reward = 226.0, ave reward = 4.8
episode 8 of 500 complete,  explore val = 0.01, episode reward = 83.0, ave reward = 7.1
episode 9 of 500 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 7.9
episode 10 of 500 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 8.6
episode 11 of 500 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 9.0
episode 12 of 500 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 9.4
episode 13 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.8
episode 14 of 500 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 9.9
episode 15 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 10.4
episode 16 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 10.5
episode 17 of 500 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 10.6
episode 18 of 500 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 11.1
episode 19 of 500 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 11.4
episode 20 of 500 complete,  explore val = 0.01, episode reward = 65.0, ave reward = 11.7
episode 21 of 500 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 12.4
episode 22 of 500 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 12.8
episode 23 of 500 complete,  explore val = 0.01, episode reward = 383.0, ave reward = 13.5
episode 24 of 500 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 17.3
episode 25 of 500 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 18.0
episode 26 of 500 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 18.8
episode 27 of 500 complete,  explore val = 0.01, episode reward = 56.0, ave reward = 19.3
episode 28 of 500 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 19.8
episode 29 of 500 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 20.2
episode 30 of 500 complete,  explore val = 0.01, episode reward = 56.0, ave reward = 20.6
episode 31 of 500 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 21.2
episode 32 of 500 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 22.0
episode 33 of 500 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 22.1
episode 34 of 500 complete,  explore val = 0.01, episode reward = 216.0, ave reward = 22.8
episode 35 of 500 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 24.9
episode 36 of 500 complete,  explore val = 0.01, episode reward = 107.0, ave reward = 25.3
episode 37 of 500 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 26.4
episode 38 of 500 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 26.7
episode 39 of 500 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 27.1
episode 40 of 500 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 27.4
episode 41 of 500 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 27.5
episode 42 of 500 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 27.8
episode 43 of 500 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 28.4
episode 44 of 500 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 28.8
episode 45 of 500 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 29.2
episode 46 of 500 complete,  explore val = 0.01, episode reward = 73.0, ave reward = 29.8
episode 47 of 500 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 30.5
episode 48 of 500 complete,  explore val = 0.01, episode reward = 87.0, ave reward = 31.0
episode 49 of 500 complete,  explore val = 0.01, episode reward = 124.0, ave reward = 31.8
episode 50 of 500 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 33.1
episode 51 of 500 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 38.1
episode 52 of 500 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 38.7
episode 53 of 500 complete,  explore val = 0.01, episode reward = 223.0, ave reward = 39.3
episode 54 of 500 complete,  explore val = 0.01, episode reward = 137.0, ave reward = 41.5
episode 55 of 500 complete,  explore val = 0.01, episode reward = 283.0, ave reward = 42.9
episode 56 of 500 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 45.7
episode 57 of 500 complete,  explore val = 0.01, episode reward = 145.0, ave reward = 46.7
episode 58 of 500 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 48.1
episode 59 of 500 complete,  explore val = 0.01, episode reward = 172.0, ave reward = 53.1
episode 60 of 500 complete,  explore val = 0.01, episode reward = 118.0, ave reward = 54.8
episode 61 of 500 complete,  explore val = 0.01, episode reward = 205.0, ave reward = 56.0
episode 62 of 500 complete,  explore val = 0.01, episode reward = 127.0, ave reward = 58.1
episode 63 of 500 complete,  explore val = 0.01, episode reward = 195.0, ave reward = 59.4
episode 64 of 500 complete,  explore val = 0.01, episode reward = 177.0, ave reward = 61.3
episode 65 of 500 complete,  explore val = 0.01, episode reward = 189.0, ave reward = 63.1
episode 66 of 500 complete,  explore val = 0.01, episode reward = 122.0, ave reward = 65.0
episode 67 of 500 complete,  explore val = 0.01, episode reward = 374.0, ave reward = 66.2
episode 68 of 500 complete,  explore val = 0.01, episode reward = 183.0, ave reward = 69.9
episode 69 of 500 complete,  explore val = 0.01, episode reward = 142.0, ave reward = 71.8
episode 70 of 500 complete,  explore val = 0.01, episode reward = 175.0, ave reward = 73.2
episode 71 of 500 complete,  explore val = 0.01, episode reward = 151.0, ave reward = 74.9
episode 72 of 500 complete,  explore val = 0.01, episode reward = 149.0, ave reward = 76.4
episode 73 of 500 complete,  explore val = 0.01, episode reward = 181.0, ave reward = 77.9
episode 74 of 500 complete,  explore val = 0.01, episode reward = 139.0, ave reward = 79.7
episode 75 of 500 complete,  explore val = 0.01, episode reward = 159.0, ave reward = 81.1
episode 76 of 500 complete,  explore val = 0.01, episode reward = 129.0, ave reward = 82.7
