episode 1 of 1000 complete,  explore val = 0.01, episode reward = -541.0, ave reward = 0.0
episode 2 of 1000 complete,  explore val = 0.01, episode reward = -305.1, ave reward = -5.4
episode 3 of 1000 complete,  explore val = 0.01, episode reward = -503.8, ave reward = -8.5
episode 4 of 1000 complete,  explore val = 0.01, episode reward = -894.1, ave reward = -13.5
episode 5 of 1000 complete,  explore val = 0.01, episode reward = -460.7, ave reward = -22.4
episode 6 of 1000 complete,  explore val = 0.01, episode reward = -177.4, ave reward = -27.0
episode 7 of 1000 complete,  explore val = 0.01, episode reward = -382.2, ave reward = -28.8
episode 8 of 1000 complete,  explore val = 0.01, episode reward = -179.0, ave reward = -32.6
episode 9 of 1000 complete,  explore val = 0.01, episode reward = -382.5, ave reward = -34.4
episode 10 of 1000 complete,  explore val = 0.01, episode reward = -543.3, ave reward = -38.3
episode 11 of 1000 complete,  explore val = 0.01, episode reward = -168.9, ave reward = -43.7
episode 12 of 1000 complete,  explore val = 0.01, episode reward = -185.2, ave reward = -45.4
episode 13 of 1000 complete,  explore val = 0.01, episode reward = -346.9, ave reward = -47.2
episode 14 of 1000 complete,  explore val = 0.01, episode reward = -306.9, ave reward = -50.7
episode 15 of 1000 complete,  explore val = 0.01, episode reward = -455.7, ave reward = -53.8
episode 16 of 1000 complete,  explore val = 0.01, episode reward = -12.9, ave reward = -58.3
episode 17 of 1000 complete,  explore val = 0.01, episode reward = -15.1, ave reward = -58.5
episode 18 of 1000 complete,  explore val = 0.01, episode reward = -372.6, ave reward = -58.6
episode 19 of 1000 complete,  explore val = 0.01, episode reward = -743.2, ave reward = -62.3
episode 20 of 1000 complete,  explore val = 0.01, episode reward = -186.1, ave reward = -69.8
episode 21 of 1000 complete,  explore val = 0.01, episode reward = -661.2, ave reward = -71.6
episode 22 of 1000 complete,  explore val = 0.01, episode reward = -101.6, ave reward = -78.2
episode 23 of 1000 complete,  explore val = 0.01, episode reward = -367.8, ave reward = -79.3
episode 24 of 1000 complete,  explore val = 0.01, episode reward = -425.2, ave reward = -82.9
episode 25 of 1000 complete,  explore val = 0.01, episode reward = -479.9, ave reward = -87.2
episode 26 of 1000 complete,  explore val = 0.01, episode reward = -602.1, ave reward = -92.0
episode 27 of 1000 complete,  explore val = 0.01, episode reward = -145.4, ave reward = -98.0
episode 28 of 1000 complete,  explore val = 0.01, episode reward = -143.9, ave reward = -99.5
episode 29 of 1000 complete,  explore val = 0.01, episode reward = -225.1, ave reward = -100.9
episode 30 of 1000 complete,  explore val = 0.01, episode reward = -345.2, ave reward = -103.1
episode 31 of 1000 complete,  explore val = 0.01, episode reward = -83.0, ave reward = -106.6
episode 32 of 1000 complete,  explore val = 0.01, episode reward = -209.2, ave reward = -107.4
episode 33 of 1000 complete,  explore val = 0.01, episode reward = -202.7, ave reward = -109.5
episode 34 of 1000 complete,  explore val = 0.01, episode reward = 1.0, ave reward = -111.6
episode 35 of 1000 complete,  explore val = 0.01, episode reward = -481.0, ave reward = -111.5
episode 36 of 1000 complete,  explore val = 0.01, episode reward = -888.5, ave reward = -116.4
episode 37 of 1000 complete,  explore val = 0.01, episode reward = -189.2, ave reward = -125.2
episode 38 of 1000 complete,  explore val = 0.01, episode reward = -292.3, ave reward = -127.1
episode 39 of 1000 complete,  explore val = 0.01, episode reward = -147.9, ave reward = -130.0
episode 40 of 1000 complete,  explore val = 0.01, episode reward = -217.1, ave reward = -131.5
episode 41 of 1000 complete,  explore val = 0.01, episode reward = -32.6, ave reward = -133.7
episode 42 of 1000 complete,  explore val = 0.01, episode reward = -177.1, ave reward = -134.0
episode 43 of 1000 complete,  explore val = 0.01, episode reward = -466.0, ave reward = -135.8
episode 44 of 1000 complete,  explore val = 0.01, episode reward = -588.9, ave reward = -140.5
episode 45 of 1000 complete,  explore val = 0.01, episode reward = -488.0, ave reward = -146.3
episode 46 of 1000 complete,  explore val = 0.01, episode reward = -424.6, ave reward = -151.2
episode 47 of 1000 complete,  explore val = 0.01, episode reward = -212.5, ave reward = -155.5
episode 48 of 1000 complete,  explore val = 0.01, episode reward = -535.1, ave reward = -157.6
episode 49 of 1000 complete,  explore val = 0.01, episode reward = -214.2, ave reward = -162.9
episode 50 of 1000 complete,  explore val = 0.01, episode reward = -240.5, ave reward = -165.1
episode 51 of 1000 complete,  explore val = 0.01, episode reward = -640.3, ave reward = -167.5
episode 52 of 1000 complete,  explore val = 0.01, episode reward = -820.1, ave reward = -173.9
episode 53 of 1000 complete,  explore val = 0.01, episode reward = -463.9, ave reward = -182.1
episode 54 of 1000 complete,  explore val = 0.01, episode reward = -164.7, ave reward = -186.7
episode 55 of 1000 complete,  explore val = 0.01, episode reward = -174.0, ave reward = -188.4
episode 56 of 1000 complete,  explore val = 0.01, episode reward = -242.2, ave reward = -190.1
episode 57 of 1000 complete,  explore val = 0.01, episode reward = -246.2, ave reward = -192.5
episode 58 of 1000 complete,  explore val = 0.01, episode reward = -235.9, ave reward = -195.0
episode 59 of 1000 complete,  explore val = 0.01, episode reward = -301.5, ave reward = -197.4
episode 60 of 1000 complete,  explore val = 0.01, episode reward = 106.3, ave reward = -200.4
episode 61 of 1000 complete,  explore val = 0.01, episode reward = -151.1, ave reward = -199.3
episode 62 of 1000 complete,  explore val = 0.01, episode reward = -101.3, ave reward = -200.8
episode 63 of 1000 complete,  explore val = 0.01, episode reward = -303.1, ave reward = -201.8
episode 64 of 1000 complete,  explore val = 0.01, episode reward = -279.2, ave reward = -204.9
episode 65 of 1000 complete,  explore val = 0.01, episode reward = -290.8, ave reward = -207.7
episode 66 of 1000 complete,  explore val = 0.01, episode reward = -87.1, ave reward = -210.6
episode 67 of 1000 complete,  explore val = 0.01, episode reward = -75.5, ave reward = -211.4
episode 68 of 1000 complete,  explore val = 0.01, episode reward = -394.0, ave reward = -212.2
episode 69 of 1000 complete,  explore val = 0.01, episode reward = -194.9, ave reward = -216.1
episode 70 of 1000 complete,  explore val = 0.01, episode reward = -527.0, ave reward = -218.1
episode 71 of 1000 complete,  explore val = 0.01, episode reward = -202.1, ave reward = -223.4
episode 72 of 1000 complete,  explore val = 0.01, episode reward = -199.0, ave reward = -225.4
episode 73 of 1000 complete,  explore val = 0.01, episode reward = -322.4, ave reward = -227.4
episode 74 of 1000 complete,  explore val = 0.01, episode reward = 33.7, ave reward = -230.6
episode 75 of 1000 complete,  explore val = 0.01, episode reward = -14.2, ave reward = -230.3
episode 76 of 1000 complete,  explore val = 0.01, episode reward = -408.0, ave reward = -230.4
episode 77 of 1000 complete,  explore val = 0.01, episode reward = -86.2, ave reward = -234.5
episode 78 of 1000 complete,  explore val = 0.01, episode reward = 20.3, ave reward = -235.3
episode 79 of 1000 complete,  explore val = 0.01, episode reward = -88.5, ave reward = -235.1
episode 80 of 1000 complete,  explore val = 0.01, episode reward = 16.2, ave reward = -236.0
episode 81 of 1000 complete,  explore val = 0.01, episode reward = -289.7, ave reward = -235.9
episode 82 of 1000 complete,  explore val = 0.01, episode reward = -651.7, ave reward = -238.8
episode 83 of 1000 complete,  explore val = 0.01, episode reward = -73.7, ave reward = -245.3
episode 84 of 1000 complete,  explore val = 0.01, episode reward = 142.6, ave reward = -246.0
episode 85 of 1000 complete,  explore val = 0.01, episode reward = -273.6, ave reward = -244.6
episode 86 of 1000 complete,  explore val = 0.01, episode reward = -159.7, ave reward = -247.3
episode 87 of 1000 complete,  explore val = 0.01, episode reward = -111.7, ave reward = -248.9
episode 88 of 1000 complete,  explore val = 0.01, episode reward = 5.1, ave reward = -250.0
episode 89 of 1000 complete,  explore val = 0.01, episode reward = 25.6, ave reward = -250.0
episode 90 of 1000 complete,  explore val = 0.01, episode reward = -168.7, ave reward = -249.7
episode 91 of 1000 complete,  explore val = 0.01, episode reward = -205.9, ave reward = -251.4
episode 92 of 1000 complete,  explore val = 0.01, episode reward = -224.2, ave reward = -253.5
episode 93 of 1000 complete,  explore val = 0.01, episode reward = -228.5, ave reward = -255.7
episode 94 of 1000 complete,  explore val = 0.01, episode reward = -133.9, ave reward = -258.0
episode 95 of 1000 complete,  explore val = 0.01, episode reward = -457.6, ave reward = -259.3
episode 96 of 1000 complete,  explore val = 0.01, episode reward = -485.4, ave reward = -263.9
episode 97 of 1000 complete,  explore val = 0.01, episode reward = -569.9, ave reward = -268.8
episode 98 of 1000 complete,  explore val = 0.01, episode reward = -267.5, ave reward = -274.5
episode 99 of 1000 complete,  explore val = 0.01, episode reward = -366.6, ave reward = -277.1
