episode 1 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 0.2
episode 2 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.2
episode 3 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 0.4
episode 4 of 1000 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 0.6
episode 5 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 0.6
episode 6 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 0.8
episode 7 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 1.4
episode 8 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 1.8
episode 9 of 1000 complete,  explore val = 0.01, episode reward = 105.0, ave reward = 2.9
episode 10 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 3.2
episode 11 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 3.5
episode 12 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 3.8
episode 13 of 1000 complete,  explore val = 0.01, episode reward = 92.0, ave reward = 4.7
episode 14 of 1000 complete,  explore val = 0.01, episode reward = 100.0, ave reward = 5.7
episode 15 of 1000 complete,  explore val = 0.01, episode reward = 123.0, ave reward = 6.9
episode 16 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 7.3
episode 17 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 7.6
episode 18 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 8.2
episode 19 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 8.6
episode 20 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 8.8
episode 21 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 9.4
episode 22 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 9.7
episode 23 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 9.9
episode 24 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
