episode 1 of 1000 complete,  explore val = 0.01, episode reward = -539.5, ave reward = -53.9
episode 2 of 1000 complete,  explore val = 0.01, episode reward = -1026.1, ave reward = -156.6
episode 3 of 1000 complete,  explore val = 0.01, episode reward = -187.9, ave reward = -175.3
episode 4 of 1000 complete,  explore val = 0.01, episode reward = -576.4, ave reward = -233.0
episode 5 of 1000 complete,  explore val = 0.01, episode reward = -170.9, ave reward = -250.1
episode 6 of 1000 complete,  explore val = 0.01, episode reward = -797.0, ave reward = -329.8
episode 7 of 1000 complete,  explore val = 0.01, episode reward = -961.4, ave reward = -425.9
episode 8 of 1000 complete,  explore val = 0.01, episode reward = -359.8, ave reward = -461.9
episode 9 of 1000 complete,  explore val = 0.01, episode reward = -452.9, ave reward = -507.2
episode 10 of 1000 complete,  explore val = 0.01, episode reward = -178.6, ave reward = -525.0
episode 11 of 1000 complete,  explore val = 0.01, episode reward = -226.6, ave reward = -493.8
episode 12 of 1000 complete,  explore val = 0.01, episode reward = -210.7, ave reward = -412.2
episode 13 of 1000 complete,  explore val = 0.01, episode reward = -160.0, ave reward = -409.4
episode 14 of 1000 complete,  explore val = 0.01, episode reward = -170.8, ave reward = -368.9
episode 15 of 1000 complete,  explore val = 0.01, episode reward = -144.3, ave reward = -366.2
episode 16 of 1000 complete,  explore val = 0.01, episode reward = -168.7, ave reward = -303.4
episode 17 of 1000 complete,  explore val = 0.01, episode reward = -143.9, ave reward = -221.6
episode 18 of 1000 complete,  explore val = 0.01, episode reward = -165.3, ave reward = -202.2
episode 19 of 1000 complete,  explore val = 0.01, episode reward = -359.4, ave reward = -192.8
episode 20 of 1000 complete,  explore val = 0.01, episode reward = -56.1, ave reward = -180.6
episode 21 of 1000 complete,  explore val = 0.01, episode reward = -154.4, ave reward = -173.4
episode 22 of 1000 complete,  explore val = 0.01, episode reward = -158.8, ave reward = -168.2
episode 23 of 1000 complete,  explore val = 0.01, episode reward = -61.4, ave reward = -158.3
episode 24 of 1000 complete,  explore val = 0.01, episode reward = -478.2, ave reward = -189.0
episode 25 of 1000 complete,  explore val = 0.01, episode reward = -225.0, ave reward = -197.1
episode 26 of 1000 complete,  explore val = 0.01, episode reward = -49.1, ave reward = -185.2
episode 27 of 1000 complete,  explore val = 0.01, episode reward = -257.2, ave reward = -196.5
episode 28 of 1000 complete,  explore val = 0.01, episode reward = -212.3, ave reward = -201.2
episode 29 of 1000 complete,  explore val = 0.01, episode reward = -159.0, ave reward = -181.1
episode 30 of 1000 complete,  explore val = 0.01, episode reward = -360.2, ave reward = -211.6
episode 31 of 1000 complete,  explore val = 0.01, episode reward = -153.4, ave reward = -211.5
episode 32 of 1000 complete,  explore val = 0.01, episode reward = -226.0, ave reward = -218.2
episode 33 of 1000 complete,  explore val = 0.01, episode reward = -170.6, ave reward = -229.1
episode 34 of 1000 complete,  explore val = 0.01, episode reward = -203.6, ave reward = -201.6
episode 35 of 1000 complete,  explore val = 0.01, episode reward = -171.4, ave reward = -196.3
episode 36 of 1000 complete,  explore val = 0.01, episode reward = -170.3, ave reward = -208.4
episode 37 of 1000 complete,  explore val = 0.01, episode reward = -155.2, ave reward = -198.2
episode 38 of 1000 complete,  explore val = 0.01, episode reward = -341.3, ave reward = -211.1
episode 39 of 1000 complete,  explore val = 0.01, episode reward = -300.2, ave reward = -225.2
episode 40 of 1000 complete,  explore val = 0.01, episode reward = -655.4, ave reward = -254.7
episode 41 of 1000 complete,  explore val = 0.01, episode reward = -171.5, ave reward = -256.5
episode 42 of 1000 complete,  explore val = 0.01, episode reward = -285.9, ave reward = -262.5
episode 43 of 1000 complete,  explore val = 0.01, episode reward = -275.1, ave reward = -273.0
episode 44 of 1000 complete,  explore val = 0.01, episode reward = -348.6, ave reward = -287.5
episode 45 of 1000 complete,  explore val = 0.01, episode reward = -429.0, ave reward = -313.2
episode 46 of 1000 complete,  explore val = 0.01, episode reward = -894.1, ave reward = -385.6
episode 47 of 1000 complete,  explore val = 0.01, episode reward = -149.4, ave reward = -385.0
episode 48 of 1000 complete,  explore val = 0.01, episode reward = -160.5, ave reward = -367.0
episode 49 of 1000 complete,  explore val = 0.01, episode reward = -214.0, ave reward = -358.3
episode 50 of 1000 complete,  explore val = 0.01, episode reward = -198.0, ave reward = -312.6
episode 51 of 1000 complete,  explore val = 0.01, episode reward = -174.0, ave reward = -312.8
episode 52 of 1000 complete,  explore val = 0.01, episode reward = -197.9, ave reward = -304.0
episode 53 of 1000 complete,  explore val = 0.01, episode reward = -175.8, ave reward = -294.1
episode 54 of 1000 complete,  explore val = 0.01, episode reward = -157.0, ave reward = -275.0
episode 55 of 1000 complete,  explore val = 0.01, episode reward = -206.9, ave reward = -252.7
episode 56 of 1000 complete,  explore val = 0.01, episode reward = -176.9, ave reward = -181.0
episode 57 of 1000 complete,  explore val = 0.01, episode reward = -170.0, ave reward = -183.1
episode 58 of 1000 complete,  explore val = 0.01, episode reward = -170.5, ave reward = -184.1
episode 59 of 1000 complete,  explore val = 0.01, episode reward = -180.9, ave reward = -180.8
episode 60 of 1000 complete,  explore val = 0.01, episode reward = -138.8, ave reward = -174.9
episode 61 of 1000 complete,  explore val = 0.01, episode reward = -217.5, ave reward = -179.2
episode 62 of 1000 complete,  explore val = 0.01, episode reward = -166.6, ave reward = -176.1
episode 63 of 1000 complete,  explore val = 0.01, episode reward = -183.9, ave reward = -176.9
